commande_id,client_id,date,canal,statut,total_articles_mad,frais_livraison_mad,total_mad,ville_livraison,paiement
CMD-00294,CLI-0070,2026-02-07,whatsapp,en préparation,300,25,325,Meknès,à la livraison
CMD-00295,CLI-0062,2026-04-26,whatsapp,en préparation,680,40,720,Tanger,à la livraison
CMD-00296,CLI-0005,2026-04-13,whatsapp,livrée,640,35,675,Agadir,virement
CMD-00297,CLI-0080,2026-06-03,boutique,livrée,850,45,895,Tétouan,virement
CMD-00298,CLI-0011,2026-07-19,whatsapp,livrée,1510,40,1550,Mohammedia,à la livraison
CMD-00299,CLI-0056,2026-08-27,boutique,livrée,680,35,715,Marrakech,carte
CMD-00300,CLI-0084,2026-02-11,whatsapp,livrée,1810,25,1835,Fès,à la livraison
CMD-00301,CLI-0017,2026-04-16,boutique,en préparation,300,25,325,Fès,à la livraison
CMD-00302,CLI-0067,2026-01-23,whatsapp,livrée,820,40,860,Tanger,à la livraison
CMD-00303,CLI-0083,2026-07-24,instagram,livrée,2650,25,2675,Salé,virement
CMD-00304,CLI-0118,2026-07-23,whatsapp,livrée,840,40,880,Meknès,virement
CMD-00305,CLI-0094,2026-01-11,instagram,livrée,1940,35,1975,Marrakech,carte
CMD-00306,CLI-0103,2026-04-22,whatsapp,livrée,1440,25,1465,Rabat,à la livraison
CMD-00307,CLI-0078,2026-03-11,whatsapp,livrée,1940,40,1980,Kénitra,à la livraison
CMD-00308,CLI-0029,2026-06-19,whatsapp,livrée,310,25,335,Kénitra,virement
CMD-00309,CLI-0094,2026-02-24,boutique,livrée,1790,25,1815,Marrakech,à la livraison
CMD-00310,CLI-0069,2026-02-20,whatsapp,livrée,1410,30,1440,Tétouan,virement
CMD-00311,CLI-0056,2026-01-02,whatsapp,livrée,450,40,490,Marrakech,à la livraison
CMD-00312,CLI-0036,2026-03-03,whatsapp,livrée,840,40,880,Fès,à la livraison
CMD-00313,CLI-0029,2026-04-25,instagram,livrée,320,25,345,Kénitra,à la livraison
CMD-00314,CLI-0104,2026-04-12,whatsapp,livrée,2510,45,2555,Salé,carte
CMD-00315,CLI-0001,2026-04-02,instagram,livrée,1520,25,1545,Tanger,virement
CMD-00316,CLI-0021,2026-03-09,whatsapp,livrée,200,25,225,Marrakech,à la livraison
CMD-00317,CLI-0034,2026-03-10,whatsapp,livrée,2030,25,2055,Agadir,carte
CMD-00318,CLI-0094,2026-06-16,whatsapp,en préparation,310,30,340,Marrakech,à la livraison
CMD-00319,CLI-0089,2026-02-07,instagram,en préparation,2490,40,2530,Meknès,virement
CMD-00320,CLI-0058,2026-02-07,whatsapp,livrée,620,45,665,Agadir,à la livraison
